0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
106/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.7373126745223999, q_loss : 0.07953374832868576, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
107/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.6654697060585022, q_loss : 0.030487777665257454, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
108/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.5972905158996582, q_loss : 0.025409908965229988, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
109/20000, episode_reward : 7, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.7170393466949463, q_loss : 0.0834834948182106, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
110/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.4355272650718689, q_loss : 0.0479135736823082, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
111/20000, episode_reward : 1, episode_length : 7, CTR : 0.14285714285714285, a_loss : -0.44332024455070496, q_loss : 0.020911604166030884, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
112/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.4550671875476837, q_loss : 0.12473751604557037, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
113/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.35991787910461426, q_loss : 0.016287406906485558, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
114/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.3672249913215637, q_loss : 0.07997171580791473, SCL Loss : 0×0, ICL Loss : 7×1.0, UCL Loss : 0×0
115/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.37222349643707275, q_loss : 0.08339895308017731, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
116/20000, episode_reward : 0, episode_length : 9, CTR : 0.0, a_loss : -0.49278002977371216, q_loss : 0.07061067223548889, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
117/20000, episode_reward : 2, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.5617351531982422, q_loss : 0.07073616236448288, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
118/20000, episode_reward : 1, episode_length : 6, CTR : 0.16666666666666666, a_loss : -0.49409157037734985, q_loss : 0.1011366993188858, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
119/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.5056841373443604, q_loss : 0.017507920041680336, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
120/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.5855370163917542, q_loss : 0.02050185762345791, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
121/20000, episode_reward : 6, episode_length : 4, CTR : 0.5, a_loss : -0.4155462384223938, q_loss : 0.023605413734912872, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
122/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -0.40291768312454224, q_loss : 0.085083968937397, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
123/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.4971108138561249, q_loss : 0.019703488796949387, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
124/20000, episode_reward : 5, episode_length : 13, CTR : 0.15384615384615385, a_loss : -0.40410587191581726, q_loss : 0.025886308401823044, SCL Loss : 0×0, ICL Loss : 13×1.0, UCL Loss : 0×0
125/20000, episode_reward : 8, episode_length : 20, CTR : 0.2, a_loss : -0.5790156722068787, q_loss : 0.03021657094359398, SCL Loss : 0×0, ICL Loss : 20×1.0, UCL Loss : 0×0
126/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.6989757418632507, q_loss : 0.09124556183815002, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
127/20000, episode_reward : 10, episode_length : 20, CTR : 0.3, a_loss : -0.5293189883232117, q_loss : 0.031160367652773857, SCL Loss : 0×0, ICL Loss : 20×1.0, UCL Loss : 0×0
128/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -0.6680607199668884, q_loss : 0.02121199108660221, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
129/20000, episode_reward : 4, episode_length : 12, CTR : 0.25, a_loss : -0.972282886505127, q_loss : 0.03432045876979828, SCL Loss : 0×0, ICL Loss : 12×1.0, UCL Loss : 0×0
130/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -0.9412596821784973, q_loss : 0.018391575664281845, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
131/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.9444493055343628, q_loss : 0.04034212604165077, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
132/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.9418773651123047, q_loss : 0.024631910026073456, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
133/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.7233362197875977, q_loss : 0.023397229611873627, SCL Loss : 0×0, ICL Loss : 8×1.0, UCL Loss : 0×0
134/20000, episode_reward : 3, episode_length : 4, CTR : 0.5, a_loss : -1.250995397567749, q_loss : 0.026725074276328087, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
135/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -1.3956758975982666, q_loss : 0.03198190778493881, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
136/20000, episode_reward : 70, episode_length : 86, CTR : 0.29069767441860467, a_loss : -1.4215222597122192, q_loss : 0.02321460470557213, SCL Loss : 0×0, ICL Loss : 86×1.0, UCL Loss : 0×0
137/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -1.2815196514129639, q_loss : 0.09398920834064484, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
