0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
211/20000, episode_reward : 5, episode_length : 8, CTR : 0.375, a_loss : -2.0518646240234375, q_loss : 0.06293141096830368
212/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -2.606642723083496, q_loss : 0.09694978594779968
213/20000, episode_reward : 76, episode_length : 57, CTR : 0.43859649122807015, a_loss : -2.2160756587982178, q_loss : 0.09898676723241806
214/20000, episode_reward : 35, episode_length : 9, CTR : 0.8888888888888888, a_loss : -2.280146837234497, q_loss : 0.1649400144815445
215/20000, episode_reward : 9, episode_length : 6, CTR : 0.6666666666666666, a_loss : -2.3633193969726562, q_loss : 0.13822808861732483
216/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -2.3524022102355957, q_loss : 0.1321413218975067
217/20000, episode_reward : 6, episode_length : 8, CTR : 0.5, a_loss : -2.4845130443573, q_loss : 0.12003660202026367
218/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -2.2967402935028076, q_loss : 0.08812715113162994
219/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : -2.8011722564697266, q_loss : 0.06721008569002151
220/20000, episode_reward : 17, episode_length : 17, CTR : 0.4117647058823529, a_loss : -1.901591181755066, q_loss : 0.07751757651567459
221/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -2.423696994781494, q_loss : 0.0986717939376831
